constraints,proof,infra,trial,parties,time
512,marlin,spdz,1,2,1.222
512,marlin,gsz,1,2,0.692498
512,plonk,local,1,2,1.434
512,plonk,hbc,1,2,1.569
512,plonk,spdz,1,2,3.079
512,plonk,gsz,1,2,1.94
512,groth16,local,1,3,0.180812
512,groth16,hbc,1,3,0.213377
512,groth16,spdz,1,3,0.427536
512,groth16,gsz,1,3,0.277032
512,marlin,local,1,3,0.664319
512,marlin,hbc,1,3,0.735519
512,marlin,spdz,1,3,1.262
512,marlin,gsz,1,3,0.768556
512,plonk,local,1,3,1.46
512,plonk,hbc,1,3,1.69
512,plonk,spdz,1,3,3.332
512,plonk,gsz,1,3,2.17
1024,groth16,local,1,2,0.318995
1024,groth16,hbc,1,2,0.332842
1024,groth16,spdz,1,2,0.692649
1024,groth16,gsz,1,2,0.393377
1024,marlin,local,1,2,1.158
1024,marlin,hbc,1,2,1.219
1024,marlin,spdz,1,2,2.088
1024,marlin,gsz,1,2,1.236
1024,plonk,local,1,2,2.607
1024,plonk,hbc,1,2,2.787
1024,plonk,spdz,1,2,5.46
1024,plonk,gsz,1,2,3.566
1024,groth16,local,1,3,0.316008
1024,groth16,hbc,1,3,0.365575
1024,groth16,spdz,1,3,0.725574
1024,groth16,gsz,1,3,0.447842
1024,marlin,local,1,3,1.155
1024,marlin,hbc,1,3,1.325
1024,marlin,spdz,1,3,2.291
1024,marlin,gsz,1,3,1.319
1024,plonk,local,1,3,2.594
1024,plonk,hbc,1,3,2.85
1024,plonk,spdz,1,3,5.708
1024,plonk,gsz,1,3,3.651
