proof_system,alg,parties,net,size,trial,time
groth16,gsz,3,lan,262144,0,45.47866666666667
groth16,local,1,cohost,262144,0,42.062
groth16,local,1,cohost,262144,2,42.913
groth16,local,1,cohost,262144,1,43.423
plonk,spdz,2,lan,32768,2,115.7835
plonk,spdz,2,lan,32768,1,118.08600000000001
groth16,spdz,3,lan,131072,2,45.532000000000004
plonk,spdz,2,lan,32768,0,119.777
groth16,spdz,2,lan,131072,1,44.126
groth16,spdz,3,lan,131072,1,45.879
groth16,spdz,2,lan,131072,2,45.887
groth16,spdz,2,lan,131072,0,43.709
groth16,spdz,3,lan,131072,0,46.529
plonk,gsz,3,lan,32768,2,64.672
plonk,gsz,3,lan,32768,1,62.224333333333334
marlin,gsz,3,lan,65536,1,49.81466666666666
marlin,gsz,3,lan,65536,0,49.60999999999999
marlin,gsz,3,lan,65536,2,52.62133333333333
plonk,gsz,3,lan,32768,0,63.99333333333334
marlin,spdz,3,lan,32768,2,53.559
marlin,spdz,3,lan,32768,1,49.28799999999999
plonk,local,1,cohost,32768,2,55.397
plonk,local,1,cohost,32768,1,55.935
marlin,local,1,cohost,65536,0,48.956
plonk,local,1,cohost,32768,0,58.128
marlin,spdz,2,lan,32768,1,47.61
marlin,local,1,cohost,65536,2,49.691
plonk,spdz,3,lan,16384,1,61.36066666666667
marlin,spdz,2,lan,32768,2,48.667
plonk,spdz,3,lan,16384,2,63.77133333333333
marlin,spdz,2,lan,32768,0,49.812
plonk,spdz,3,lan,16384,0,63.826
marlin,local,1,cohost,65536,1,52.976
marlin,spdz,3,lan,32768,0,51.508
groth16,gsz,3,lan,131072,2,23.313
groth16,gsz,3,lan,131072,1,23.069
plonk,spdz,2,lan,16384,2,64.2695
groth16,gsz,3,lan,131072,0,24.265666666666664
groth16,local,1,cohost,131072,1,22.15
groth16,local,1,cohost,131072,2,22.764
groth16,local,1,cohost,131072,0,22.838
plonk,spdz,2,lan,16384,1,62.245999999999995
groth16,spdz,3,lan,65536,1,24.157
plonk,spdz,2,lan,16384,0,65.301
groth16,spdz,3,lan,65536,2,25.901
groth16,spdz,3,lan,65536,0,23.503
groth16,spdz,2,lan,65536,2,23.543
groth16,spdz,2,lan,65536,0,23.323
groth16,spdz,2,lan,65536,1,24.104
plonk,gsz,3,lan,16384,2,34.594
plonk,gsz,3,lan,16384,1,35.61633333333334
marlin,gsz,3,lan,32768,2,25.704666666666668
marlin,gsz,3,lan,32768,1,26.363
plonk,gsz,3,lan,16384,0,33.672000000000004
marlin,gsz,3,lan,32768,0,26.542
marlin,spdz,3,lan,16384,2,26.641000000000002
marlin,spdz,3,lan,16384,1,25.846999999999998
marlin,local,1,cohost,32768,0,26.177
marlin,local,1,cohost,32768,2,26.587
marlin,local,1,cohost,32768,1,26.71
plonk,local,1,cohost,16384,1,30.54
plonk,local,1,cohost,16384,2,30.721
marlin,spdz,3,lan,16384,0,25.828
marlin,spdz,2,lan,16384,2,25.545
marlin,spdz,2,lan,16384,1,25.581
plonk,local,1,cohost,16384,0,32.126
plonk,spdz,3,lan,8192,2,32.45499999999999
plonk,spdz,3,lan,8192,1,32.37533333333333
marlin,spdz,2,lan,16384,0,26.119
plonk,spdz,3,lan,8192,0,32.99766666666667
groth16,gsz,3,lan,65536,2,12.279666666666666
groth16,local,1,cohost,65536,0,11.649
groth16,gsz,3,lan,65536,1,12.357999999999999
groth16,local,1,cohost,65536,1,11.849
groth16,local,1,cohost,65536,2,12.094
plonk,spdz,2,lan,8192,2,32.653
groth16,gsz,3,lan,65536,0,12.323
plonk,spdz,2,lan,8192,1,33.079
plonk,spdz,2,lan,8192,0,33.134
groth16,spdz,3,lan,32768,2,13.653
groth16,spdz,3,lan,32768,1,13.543
groth16,spdz,3,lan,32768,0,13.327
groth16,spdz,2,lan,32768,2,13.208
groth16,spdz,2,lan,32768,1,13.257
groth16,spdz,2,lan,32768,0,13.429
plonk,gsz,3,lan,8192,1,17.636999999999997
plonk,gsz,3,lan,8192,2,18.87633333333333
marlin,gsz,3,lan,16384,1,13.24
marlin,gsz,3,lan,16384,0,13.220999999999998
marlin,gsz,3,lan,16384,2,13.648666666666665
plonk,gsz,3,lan,8192,0,17.581666666666667
marlin,spdz,3,lan,8192,2,13.539
marlin,spdz,3,lan,8192,1,13.319
marlin,spdz,2,lan,8192,2,13.476
marlin,local,1,cohost,16384,2,13.902
marlin,local,1,cohost,16384,0,13.827
marlin,spdz,3,lan,8192,0,13.738999999999999
plonk,local,1,cohost,8192,2,16.115
plonk,local,1,cohost,8192,1,16.232
plonk,local,1,cohost,8192,0,16.395
marlin,spdz,2,lan,8192,1,13.241
marlin,local,1,cohost,16384,1,14.391
marlin,spdz,2,lan,8192,0,13.6995
plonk,spdz,3,lan,4096,2,17.249666666666666
plonk,spdz,3,lan,4096,1,17.22866666666667
plonk,spdz,3,lan,4096,0,17.307666666666666
groth16,local,1,cohost,32768,0,6.413
groth16,local,1,cohost,32768,2,6.466
groth16,local,1,cohost,32768,1,6.601
groth16,gsz,3,lan,32768,2,6.746666666666667
groth16,gsz,3,lan,32768,1,6.746333333333333
plonk,spdz,2,lan,4096,2,17.2025
groth16,gsz,3,lan,32768,0,6.927333333333333
plonk,spdz,2,lan,4096,0,17.238999999999997
groth16,spdz,3,lan,16384,2,7.063
plonk,spdz,2,lan,4096,1,17.4565
groth16,spdz,3,lan,16384,1,6.992
groth16,spdz,2,lan,16384,1,7.006
groth16,spdz,2,lan,16384,2,7.113
groth16,spdz,2,lan,16384,0,6.966
groth16,spdz,3,lan,16384,0,7.067
marlin,gsz,3,lan,8192,2,7.130333333333333
marlin,gsz,3,lan,8192,1,7.415
