proof_system,alg,parties,net,size,trial,time
groth16,gsz,6,lan,2048,1,0.8074058333333335
groth16,gsz,6,lan,2048,0,0.8162676666666667
groth16,spdz,6,lan,1024,2,0.7427435000000001
groth16,spdz,6,lan,1024,1,0.7499686666666667
groth16,spdz,6,lan,1024,0,0.7650818333333333
marlin,gsz,6,lan,512,1,0.7935393333333334
marlin,gsz,6,lan,512,2,0.8016473333333334
marlin,gsz,6,lan,512,0,0.8010585
plonk,gsz,6,lan,256,2,1.1886666666666668
plonk,gsz,6,lan,256,1,1.1743333333333332
plonk,gsz,6,lan,256,0,1.1885000000000001
marlin,spdz,6,lan,256,2,0.7862246666666666
marlin,spdz,6,lan,256,1,0.7881101666666668
marlin,spdz,6,lan,256,0,0.7848396666666667
plonk,spdz,6,lan,128,2,1.266
plonk,spdz,6,lan,128,1,1.2578333333333334
plonk,spdz,6,lan,128,0,1.2625
groth16,gsz,6,lan,1024,2,0.5074913333333333
groth16,gsz,6,lan,1024,1,0.5134356666666666
groth16,gsz,6,lan,1024,0,0.510608
groth16,spdz,6,lan,512,2,0.44464516666666665
groth16,spdz,6,lan,512,1,0.44014116666666664
groth16,spdz,6,lan,512,0,0.44173616666666665
marlin,gsz,6,lan,256,2,0.5231698333333333
marlin,gsz,6,lan,256,1,0.5167466666666667
marlin,gsz,6,lan,256,0,0.5239535
plonk,gsz,6,lan,128,2,0.8704445000000001
plonk,gsz,6,lan,128,1,0.890653
plonk,gsz,6,lan,128,0,0.8916646666666668
marlin,spdz,6,lan,128,2,0.4931003333333333
marlin,spdz,6,lan,128,1,0.4981305
marlin,spdz,6,lan,128,0,0.49455716666666666
plonk,spdz,6,lan,64,2,0.7726533333333334
plonk,spdz,6,lan,64,1,0.7712091666666666
plonk,spdz,6,lan,64,0,0.7752155
groth16,gsz,6,lan,512,2,0.35750883333333333
groth16,gsz,6,lan,512,1,0.36265833333333336
groth16,gsz,6,lan,512,0,0.3553098333333333
groth16,spdz,6,lan,256,2,0.31028816666666664
groth16,spdz,6,lan,256,1,0.31552549999999996
groth16,spdz,6,lan,256,0,0.5072241666666667
marlin,gsz,6,lan,128,2,0.36477733333333334
marlin,gsz,6,lan,128,1,0.3654065
marlin,gsz,6,lan,128,0,0.365191
plonk,gsz,6,lan,64,2,0.6083245
plonk,gsz,6,lan,64,1,0.63245
plonk,gsz,6,lan,64,0,0.6130985000000001
marlin,spdz,6,lan,64,2,0.32553183333333335
marlin,spdz,6,lan,64,1,0.3247321666666667
marlin,spdz,6,lan,64,0,0.32262216666666665
plonk,spdz,6,lan,32,2,0.4963363333333333
plonk,spdz,6,lan,32,1,0.500492
plonk,spdz,6,lan,32,0,0.49947083333333336
groth16,gsz,6,lan,256,2,0.2881038333333333
groth16,gsz,6,lan,256,1,0.29294250000000005
groth16,gsz,6,lan,256,0,0.2905275
groth16,spdz,6,lan,128,2,0.19612700000000002
groth16,spdz,6,lan,128,1,0.19490500000000002
groth16,spdz,6,lan,128,0,0.19691250000000002
marlin,gsz,6,lan,64,2,0.2711295
marlin,gsz,6,lan,64,1,0.2732003333333333
marlin,gsz,6,lan,64,0,0.26557400000000003
plonk,gsz,6,lan,32,2,0.46715799999999996
plonk,gsz,6,lan,32,1,0.47584883333333333
plonk,gsz,6,lan,32,0,0.4516006666666667
marlin,spdz,6,lan,32,2,0.22151566666666667
marlin,spdz,6,lan,32,1,0.22255766666666665
marlin,spdz,6,lan,32,0,0.22372266666666665
plonk,spdz,6,lan,16,2,0.383146
plonk,spdz,6,lan,16,1,0.3736391666666667
plonk,spdz,6,lan,16,0,0.38871816666666664
groth16,gsz,6,lan,128,2,0.232308
groth16,gsz,6,lan,128,1,0.234711
groth16,gsz,6,lan,128,0,0.22893016666666668
groth16,spdz,6,lan,64,2,0.13406833333333332
groth16,spdz,6,lan,64,1,0.13583116666666664
groth16,spdz,6,lan,64,0,0.13353716666666665
marlin,gsz,6,lan,32,2,0.21199849999999998
marlin,gsz,6,lan,32,1,0.21526183333333335
marlin,gsz,6,lan,32,0,0.21559633333333336
plonk,gsz,6,lan,16,2,0.3976301666666666
plonk,gsz,6,lan,16,1,0.3817458333333334
plonk,gsz,6,lan,16,0,0.40576133333333336
marlin,spdz,6,lan,16,2,0.15893366666666667
marlin,spdz,6,lan,16,1,0.16318183333333333
marlin,spdz,6,lan,16,0,0.2620306666666667
plonk,spdz,6,lan,8,2,0.23894650000000003
plonk,spdz,6,lan,8,1,0.24119200000000005
plonk,spdz,6,lan,8,0,0.2418435
groth16,gsz,6,lan,64,2,0.2043138333333333
groth16,gsz,6,lan,64,1,0.20705533333333334
groth16,gsz,6,lan,64,0,0.20093499999999997
groth16,spdz,6,lan,32,2,0.11000650000000001
groth16,spdz,6,lan,32,1,0.108421
groth16,spdz,6,lan,32,0,0.10961416666666667
marlin,gsz,6,lan,16,2,0.18228049999999998
marlin,gsz,6,lan,16,1,0.1819835
marlin,gsz,6,lan,16,0,0.179339
plonk,gsz,6,lan,8,2,0.32312983333333334
plonk,gsz,6,lan,8,1,0.32076333333333334
plonk,gsz,6,lan,8,0,0.324394
marlin,spdz,6,lan,8,2,0.12551500000000002
marlin,spdz,6,lan,8,1,0.12692183333333332
marlin,spdz,6,lan,8,0,0.1258773333333333
plonk,spdz,6,lan,4,2,0.190712
plonk,spdz,6,lan,4,1,0.18348050000000002
plonk,spdz,6,lan,4,0,0.19125833333333334
groth16,gsz,6,lan,32,2,0.19357533333333332
groth16,gsz,6,lan,32,1,0.19227550000000002
groth16,gsz,6,lan,32,0,0.18564416666666664
groth16,spdz,6,lan,16,2,0.07243500000000001
groth16,spdz,6,lan,16,1,0.072989
groth16,spdz,6,lan,16,0,0.07279066666666667
marlin,gsz,6,lan,8,2,0.1644933333333333
marlin,gsz,6,lan,8,1,0.15957683333333336
marlin,gsz,6,lan,8,0,0.15963133333333332
plonk,gsz,6,lan,4,2,0.2790516666666667
plonk,gsz,6,lan,4,1,0.27794800000000003
plonk,gsz,6,lan,4,0,0.29686266666666666
marlin,spdz,6,lan,4,2,0.1007345
marlin,spdz,6,lan,4,1,0.09787333333333333
marlin,spdz,6,lan,4,0,0.09752416666666668
plonk,spdz,6,lan,2,2,0.1656808333333333
plonk,spdz,6,lan,2,1,0.16443166666666667
plonk,spdz,6,lan,2,0,0.16812016666666665
groth16,gsz,6,lan,16,2,0.17027250000000002
groth16,gsz,6,lan,16,1,0.16747283333333338
groth16,gsz,6,lan,16,0,0.17067533333333332
groth16,spdz,6,lan,8,2,0.06486066666666666
groth16,spdz,6,lan,8,1,0.06144816666666667
groth16,spdz,6,lan,8,0,0.06302166666666666
marlin,gsz,6,lan,4,2,0.14887533333333333
marlin,gsz,6,lan,4,1,0.14695950000000002
marlin,gsz,6,lan,4,0,0.146586
plonk,gsz,6,lan,2,2,0.27685683333333333
plonk,gsz,6,lan,2,1,0.27671333333333337
marlin,spdz,6,lan,2,2,0.0857155
plonk,gsz,6,lan,2,0,0.2677065
marlin,spdz,6,lan,2,1,0.08969300000000001
marlin,spdz,6,lan,2,0,0.08829683333333334
groth16,gsz,6,lan,8,2,0.16042816666666668
groth16,gsz,6,lan,8,1,0.16315633333333332
groth16,gsz,6,lan,8,0,0.16160100000000002
groth16,spdz,6,lan,4,2,0.05699883333333333
groth16,spdz,6,lan,4,1,0.05699216666666667
groth16,spdz,6,lan,4,0,0.057775166666666676
marlin,gsz,6,lan,2,2,0.13794099999999998
marlin,gsz,6,lan,2,1,0.1426736666666667
marlin,gsz,6,lan,2,0,0.13968433333333333
groth16,gsz,6,lan,4,2,0.16464416666666667
groth16,gsz,6,lan,4,1,0.1577655
groth16,gsz,6,lan,4,0,0.15854166666666666
groth16,spdz,6,lan,2,2,0.052184833333333326
groth16,spdz,6,lan,2,1,0.055794
groth16,spdz,6,lan,2,0,0.054920166666666666
groth16,gsz,6,lan,2,2,0.155394
groth16,gsz,6,lan,2,1,0.154029
groth16,gsz,6,lan,2,0,0.156707
